Term;Topic;;;;;
dire;Information;;;;;
andare;Movement;;;;;
dare;Economics;;;;;
venire;Movement;;;;;
mandare;Information;;;;;
passare;Movement;;;;;
volere;Mental activity and intentions;;;;;
ordine;Governance;;;;;
credere;Mental activity and intentions;;;;;
vedere;Mental activity and intentions;;;;;
portare;Movement;;;;;
partire;Movement;;;;;
intendere;Mental activity and intentions;;;;;
sapere;Mental activity and intentions;;;;;
guerra;War;;;;;
scrivere;Information;;;;;
restare;Movement;;;;;
aspettare;Movement;;;;;
parere;Mental activity and intentions;;;;;
lettera;Information;;;;;
soldato;War;;;;;
cavallo;War;;;;;
parto;Movement;;;;;
sentire;Information;;;;;
trattare;War;;;;;
ritornare;Movement;;;;;
male;Catastrophe, disease, and death;;;;;
ricevere;Information;;;;;
morire;Catastrophe, disease, and death;;;;;
spedire;Information;;;;;
condurre;Movement;;;;;
entrare;Movement;;;;;
arrivare;Movement;;;;;
armata;War;;;;;
pace;War;;;;;
servire;Governance;;;;;
corte;Governance;;;;;
terra;War;;;;;
galera;War;;;;;
forza;War;;;;;
mare;Movement;;;;;
nemico;War;;;;;
morte;Catastrophe, disease, and death;;;;;
ministro;Governance;;;;;
pagare;Economics;;;;;
danno;Catastrophe, disease, and death;;;;;
denaro;Economics;;;;;
cattolico;Religion;;;;;
fante;War;;;;;
governo;Governance;;;;;
popolo;Governance;;;;;
via;Movement;;;;;
regno;Governance;;;;;
avviso;Information;;;;;
ritorno;Movement;;;;;
dubitare;Mental activity and intentions;;;;;
tornare;Movement;;;;;
ritirare;War;;;;;
affare;Governance;;;;;
guardia;War;;;;;
arma;War;;;;;
impedire;Governance;;;;;
strada;Movement;;;;;
nave;War;;;;;
esercito;War;;;;;
risposta;Information;;;;;
danaro;Economics;;;;;
principale;Governance;;;;;
prigione;War;;;;;
religione;Religion;;;;;
viaggio;Movement;;;;;
pensare;Mental activity and intentions;;;;;
fortezza;War;;;;;
ordinare;Governance;;;;;
truppa;War;;;;;
campo;War;;;;;
spesa;Economics;;;;;
campagna;War;;;;;
festa;Festivity ;;;;;
chiesa;Religion;;;;;
bello;Festivity ;;;;;
carico;Economics;;;;;
