Term;Category;;;;;
fanciullo;donna;;;;;
cantare;donna;;;;;
gioia;donna;;;;;
robbe;donna;;;;;
peste;donna;;;;;
marito;donna;;;;;
povero;donna;;;;;
difesa;donna;;;;;
attaccare;donna;;;;;
andare;donna;;;;;
casa;donna;;;;;
dire;donna;;;;;
sapere;donna;;;;;
celebrare;regina;;;;;
visitare;regina;;;;;
festa;regina;;;;;
nozze;regina;;;;;
bello;regina;;;;;
donare;regina;;;;;
volere;regina;;;;;
passare;regina;;;;;
mandare;regina;;;;;
dare;regina;;;;;
sapere;regina;;;;;
venire;regina;;;;;
partire;regina;;;;;
intendere;regina;;;;;
parlare;regina;;;;;
invitare;regina;;;;;
ricevere;regina;;;;;
sposa;regina;;;;;
matrimonio;principessa;;;;;
visita;principessa;;;;;
condurre;principessa;;;;;
accompagnare;principessa;;;;;
ducato;principessa;;;;;
